20,total
1,Suspected vampire infestation
1,New cult seeks converts
1,important figure died
1,war between rival theives' guilds
2,plague or famine
1,corrupt officials
2,marauding monsters
1,powerful wizard has moved into town
1,economic depression (trade disrupted
1,flooding
1,undead stirring in cemeteries
1,prophecy of doom
1,brink of war
1,internal strife (leads to anarchy)
1,besieged by enemies
1,scandal threatens powerful families
1,dungeon discovered
1,religious sects struggle for power
